current_time,domain,bd_index,reverse_index,chinese,url,illegal,pan_analysis,sgsr
2016-03-24,biotuya.com,0,0,no_language,,正常,正常,1
2016-03-24,atom-china.com,0,0,no_language,,正常,正常,1
2016-03-24,0731bag.com,0,0,no_language,,正常,正常,1
2016-03-24,alfazkb.cn,0,0,no_language,,正常,正常,1
2016-03-24,27cg.cn,0,0,no_language,,正常,正常,1
2016-03-24,atabc.net,0,0,no_language,,正常,正常,1
2016-03-24,ariconmed.com,0,0,no_language,,正常,正常,1
2016-03-24,a10132651.cn,0,0,no_language,,正常,正常,1
2016-03-24,bj-uw.com,1,1,chinese,,正常,正常,1
2016-03-24,bente-wood.com,0,0,no_language,,正常,正常,1
2016-03-24,bainny.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,biyymp.com,0,0,no_language,,正常,正常,1
2016-03-24,baiyufz.com,0,0,no_language,,正常,正常,1
2016-03-24,19662000.com,0,0,no_language,,正常,正常,1
2016-03-24,aofaoxd.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,aql-jinke.com,0,0,no_language,,正常,正常,1
2016-03-24,baocrystal.com,0,0,no_language,,正常,正常,1
2016-03-24,aimm7.net.cn,0,0,no_language,,正常,正常,1
2016-03-24,bj-ddhb.com,0,0,no_language,,正常,正常,1
2016-03-24,bja12cn.com,0,0,no_language,,正常,正常,1
2016-03-24,bjaidi.com,0,0,no_language,,正常,正常,1
2016-03-24,bfbmedia.cn,0,0,no_language,,正常,正常,1
2016-03-24,baifuda.net.cn,0,0,no_language,,正常,正常,1
2016-03-24,bjfxb888.cn,0,0,no_language,,正常,正常,1
2016-03-24,betool.com.cn,0,0,no_language,,正常,正常,1
2016-03-24,bjbsdn.com,1,1,chinese,,包含违禁词,正常,1
2016-03-24,630bxgcl.com,58,10,chinese,,包含违禁词,泛解析,1
2016-03-24,bjhodz.com,0,0,no_language,,正常,正常,1
